Step,PPL
500,41.50
1000,30.25
1500,27.06
2000,24.85
2500,23.69
3000,22.47
3500,21.70
4000,20.93
4500,20.55
5000,20.03
5500,19.39
6000,19.10
6500,18.50
7000,18.37
7500,18.12
8000,17.75
8500,17.36
9000,17.39
9500,17.13
10000,17.29
10500,16.77
11000,16.63
11500,16.31
12000,16.04
12500,15.82
13000,15.64
13500,15.14
14000,14.84
14500,14.37
15000,13.88
15500,13.50
16000,12.81
16500,12.77
17000,12.32
17500,11.91
18000,11.65
18500,11.54
19000,11.26
19500,10.91
20000,10.65
20500,10.58
21000,10.58
21500,10.39
22000,10.26
22500,10.29
23000,10.10
23500,10.06
24000,9.91
24500,9.83
25000,9.92
25500,9.75
26000,9.63
26500,9.60
27000,9.58
27500,9.58
28000,9.38
28500,9.31
29000,9.30
29500,9.34
30000,9.27
30500,9.34
31000,9.16
31500,9.10
32000,9.02
32500,9.00
33000,9.02
33500,8.99
34000,9.01
34500,8.98
35000,8.87
35500,8.87
36000,8.78
36500,8.80
37000,8.83
37500,8.90
38000,8.70
38500,8.70
39000,8.63
39500,8.61
40000,8.54
40500,8.59
