Step,PPL
30000,9.27
30500,9.34
31000,9.16
31500,9.10
32000,9.02
32500,9.00
33000,9.02
33500,8.99
34000,9.01
34500,8.98
35000,8.87
35500,8.87
36000,8.78
36500,8.80
37000,8.83
37500,8.90
38000,8.70
38500,8.70
39000,8.63
39500,8.61
40000,8.54
40500,8.59
41000,8.63
41500,8.59
42000,8.58
42500,8.49
43000,8.50
43500,8.45
44000,8.49
44500,8.40
45000,8.41
45500,8.46
46000,8.48
46500,8.46
47000,8.35
47500,8.36
48000,8.45
48500,8.26
49000,8.23
49500,8.35
50000,8.34
50500,8.33
51000,8.28
51500,8.35
52000,8.30
52500,8.15
53000,8.22
53500,8.28
54000,8.26
54500,8.21
55000,8.18
55500,8.15
56000,8.24
56500,8.20
57000,8.10
57500,8.22
58000,8.22
58500,8.12
59000,8.16
59500,8.16
60000,8.16
60500,8.05
61000,8.08
