Step,PPL
500,44.79
1000,30.80
1500,26.42
2000,23.69
2500,21.89
3000,20.49
3500,19.22
4000,18.15
4500,17.19
5000,16.06
5500,14.80
6000,13.68
6500,12.97
7000,12.23
7500,11.73
8000,11.37
8500,11.01
9000,11.00
9500,10.69
10000,10.53
10500,10.34
11000,10.18
11500,9.93
12000,9.91
12500,9.78
13000,9.78
13500,9.50
14000,9.50
14500,9.32
15000,9.28
15500,9.25
16000,9.03
16500,9.08
17000,8.97
17500,8.94
18000,8.93
18500,8.87
19000,8.78
19500,8.64
20000,8.51
20500,8.62
21000,8.61
21500,8.56
22000,8.49
22500,8.53
23000,8.44
23500,8.43
24000,8.41
24500,8.37
25000,8.35
25500,8.36
26000,8.32
26500,8.25
27000,8.33
27500,8.28
28000,8.18
28500,8.18
29000,8.20
29500,8.28
30000,8.16
30500,8.15
31000,8.07
31500,8.14
32000,8.03
32500,8.06
33000,8.08
33500,8.06
34000,8.07
34500,8.05
35000,7.99
35500,7.94
36000,7.92
36500,7.89
37000,8.03
37500,7.97
38000,7.87
38500,7.93
39000,7.91
39500,7.93
40000,7.88
40500,7.83
